HUC8,RECHARGE_mm,RECHARGE_km,Area_km2,Recharge_km3,Recharge_af,,,UC8,mean_predictedBFI,mean_P,mean_ET,mean_Q,mean_R,recharge_AF,,
15020005,14.2,1.42012E-05,2456.8,0.03,28285.48,,,15020005,0.4049254,392.4703,370.5713,21.899,8.86746106,17661.87335,,
15020006,12.98,1.29821E-05,1430.89,0.02,15059.78,,,15020006,0.5101339,298.2637,275.066,23.19766667,11.83391585,13727.84598,,
15020007,9.66,9.65682E-06,2889.69,0.03,22623.18,,,15020007,0.5044968,228.6927,221.375,7.31766667,3.6917396,8648.683174,,
15020008,5.63,5.62561E-06,6539.44,0.04,29824.78,,,15020008,0.2027357,297.551,286.894,10.657,2.16055482,11454.43105,,
15020009,3.45,3.45019E-06,2106.65,0.01,5892.55,,,15020009,0.464507,242.99,229.234,13.756,6.38975775,10913.0075,,
15020010,15.08,1.50835E-05,2123.64,0.03,25968.74,,,15020010,0.2442418,409.333,371.698,37.635,9.19204096,15825.61225,,
15020011,-1.25,0,4342.5,-0.01,0,,,15020011,0.5147064,226.9853,228.33,0,0,0,,
15020012,-4.11,0,1895.56,-0.01,0,,,15020012,0.5045166,219.0173,222.587,0,0,0,,
15020013,-12.28,0,2994.49,-0.04,0,,,15020013,0.471925,204.874,227.375,0,0,0,,
15020014,-10.54,0,2432.49,-0.03,0,,,15020014,0.6817347,194.8467,217.012,0,0,0,,
15020015,42.98,4.29801E-05,3106.55,0.13,108246.37,,,15020015,0.5009795,442.1867,367.7613,74.42533333,37.28556269,93904.56871,,
15020016,13.19,1.31865E-05,6201.87,0.08,66300.97,,,15020016,0.307478,266.2607,237.7513,28.50933333,8.76599192,44074.90627,,
15020017,0.92,9.15197E-07,2121.58,0,1574.13,,,15020017,0.3696785,205.7937,205.0153,0.77833333,0.28773312,494.899415,,
15020018,2.44,2.44236E-06,6868.47,0.02,13599.94,,,15020018,0.5878936,204.1587,202.0843,2.07433333,1.21948719,6790.549528,,
15030101,4.31,4.3129E-06,3134.43,0.01,10959.63,,,15030101,0.4078187,153.3287,142.5447,10.784,4.39791647,11175.66113,,
15030103,3.6,3.60288E-06,3449.44,0.01,10075.47,,,15030103,0.3779713,209.9293,205.5277,4.40166667,1.6637037,4652.56287,,
15030104,7.64,7.63825E-06,3944.18,0.03,24424.08,,,15030104,0.7282263,114.7573,106.2067,8.55066667,6.22682018,19910.89232,,
15030105,3.44,3.43874E-06,4185.3,0.01,11667.92,,,15030105,0.6696331,152.5917,156.6933,0,0,0,,
15030106,5.03,5.02887E-06,1850.43,0.01,7544.18,,,15030106,0.7515961,133.127,129.1173,4.00966667,3.01364991,4520.9857,,
15030107,1.03,1.02869E-06,184.14,0,153.56,,,15030107,0.4337954,76.043,75.542,0.501,0.2173315,32.44430602,,
15030108,1.69,1.68944E-06,1634.16,0,2238.23,,,15030108,0.5640609,79.23,78.728,0.502,0.28315859,375.1388042,,
15030201,10.04,1.00354E-05,5576.21,0.06,45367.28,,,15030201,0.2682634,307.5417,291.6023,15.93933333,4.27593961,19330.28943,,
15030202,25.42,2.54174E-05,1846.91,0.05,38057.86,,,15030202,0.2238298,405.5983,335.1647,70.43366667,15.76515533,23605.41607,,
15030203,3.75,3.74929E-06,3710.89,0.01,11279.64,,,15030203,0.2602093,357.3447,343.984,13.36066667,3.47656943,10459.15649,,
15030204,3.14,3.14078E-06,2783.02,0.01,7086.33,,,15030204,0.5778956,203.072,201.8557,1.21633333,0.70291372,1585.937325,,
15040002,-9.08,0,1381.12,-0.01,0,,,15040002,0.4441751,317.2443,340.5143,0,0,0,,
15040003,-51.24,0,44.58,0,0,,,15040003,0.8032478,313.628,376.671,0,0,0,,
15040004,26.93,2.69346E-05,2429.67,0.07,53054.85,9,,15040004,0.4515411,481.854,425.6623,56.19166667,25.37284639,49978.60781,,
15040005,-11.16,0,7171.8,-0.08,0,,,15040005,0.5206077,359.5147,392.5517,0,0,0,,
15040006,-3.94,0,5221.92,-0.02,0,,,15040006,0.4349177,319.9003,329.846,0,0,0,,
15040007,-14.17,0,2786.71,-0.04,0,,,15040007,0.284779,395.2853,445.041,0,0,0,,
15050100,-4.36,0,8508.07,-0.04,0,,,15050100,0.5367273,298.3803,312.638,0,0,0,,
15050201,-2.98,0,4284.53,-0.01,0,,,15050201,0.3655836,372.6967,384.808,0,0,0,,
15050202,-3.47,0,4631.43,-0.02,0,,,15050202,0.2822257,370.0973,389.357,0,0,0,,
15050203,-11.64,0,5133.36,-0.06,0,,,15050203,0.3900337,379.7323,419.559,0,0,0,,
15050301,-6.14,0,5771.98,-0.04,0,,,15050301,0.3791784,394.2743,417.744,0,0,0,,
15050302,-3.09,0,2384.94,-0.01,0,,,15050302,0.283687,403.1013,420.749,0,0,0,,
15050303,-0.12,0,4357.82,0,0,,,15050303,0.3624326,212.0047,223.4557,0,0,0,,
15050304,-1.33,0,3649.14,0,0,,,15050304,0.3054603,332.0807,347.4603,0,0,0,,
15050305,-2,0,1899.01,0,0,,,15050305,0.404899,245.6323,265.9357,0,0,0,,
15050306,1.11,1.10617E-06,3130.76,0,2807.62,12,,15050306,0.4320881,221.9477,232.5767,0,0,0,,
15060101,61.33,6.13325E-05,3241.24,0.2,161164.46,,,15060101,0.4559946,574.3183,489.319,84.99933333,38.7592381,101848.3726,,
15060102,109.82,0,1653.01,0.18,147175.97,,,15060102,0.588757,657.2293,491.8603,165.369,97.36216012,130476.8173,,
15060103,19.98,1.99779E-05,5579.21,0.11,90363.07,,,15060103,0.4613634,490.662,460.8963,29.76566667,13.73279011,62115.38246,,
15060104,14.25,1.42488E-05,1838.82,0.03,21241.4,,,15060104,0.4105054,469.278,446.9893,22.28866667,9.14961871,13639.85921,,
15060105,22.7,2.26961E-05,2715.83,0.06,49971.45,,,15060105,0.386953,530.774,472.382,58.392,22.59496217,49748.7156,,
15060106,-4.84,0,2696.06,-0.01,0,,,15060106,0.4965198,303.4783,316.1613,0,0,0,,
15060201,15.31,1.53132E-05,5578.16,0.09,69250.69,,,15060201,0.3367494,371.1523,345.176,25.97633333,8.74751513,39558.82125,,
15060202,22.89,2.28869E-05,6496.47,0.15,120539.99,,,15060202,0.4326653,477.675,432.5887,45.08633333,19.50729187,102740.5987,,
15060203,10.5,1.05022E-05,5093.64,0.05,43368.67,,,15060203,0.4513933,472.7713,450.7677,22.00366667,9.93230814,41015.32005,,
15070101,1.74,1.7366E-06,5221.07,0.01,7350.66,,,15070101,0.4620843,173.824,178.9937,0,0,0,,
15070102,-6.06,0,7115.79,-0.04,0,,,15070102,0.2917398,349.116,362.149,0,0,0,,
15070103,1.33,1.32862E-06,3810.24,0.01,4104.12,,,15070103,0.3195756,304.8373,309.0323,0,0,0,,
15070104,-6.77,0,5002.53,-0.03,0,,,15070104,0.5907163,186.5027,207.8177,0,0,0,,
15070201,1.09,1.08681E-06,10858.12,0.01,9567.01,,,15070201,0.5057599,117.313,121.489,0,0,0,,
15070202,-1.21,0,2784.04,0,0,,,15070202,0.5066389,159.767,162.0457,0,0,0,,
15070203,5.96,5.95644E-06,4263.09,0.03,20586.36,,,15070203,0.4567267,150.4377,140.9673,9.47033333,4.32535393,14949.05791,,
15080101,8.81,8.81235E-06,5582.5,0.05,39883.05,,,15080101,0.5235114,265.581,260.161,5.42,2.83743192,12841.68033,,
15080102,20.12,2.01177E-05,1099.48,0.02,17932.21,,,15080102,0.4910531,217.249,185.9367,31.31233333,15.37601902,13705.62718,,
15080103,7.86,7.8556E-06,1288.8,0.01,8207.91,,,15080103,0.4358495,135.5677,121.904,13.66366667,5.95530262,6222.387242,,
15080200,11.99,1.19928E-05,332.92,0,3236.91,,,15080200,0.3539766,461.4543,438.8137,22.64066667,8.01426621,2163.073731,,
15080301,-6.12,0,3119.91,-0.02,0,,,15080301,0.4143333,349.9447,374.345,0,0,0,,
15080302,9.01,9.01476E-06,1021.79,0.01,7467.63,,,15080302,0.3698299,365.0187,355.9733,9.04533333,3.34523487,2771.123849,,
,,,,,,,,,,,,,,,,
,,,,,26 = 0,,,,,,,,,,,
,,,,,,,,,,,,,,34 = 0,,
